"common_name","scientific_name","city","state","diameter_breast_height_CM","height_M","native","height_binned_M","diameter_breast_height_binned_CM","greater_metro","city_ID","tree_ID","planted_date","most_recent_observation","retired_date","most_recent_observation_type","longitude_coordinate","latitude_coordinate","location_type","zipcode","address","neighborhood","location_name","ward","district","overhead_utility","condition","percent_population"
"Ocotillo","Fouquieria splendens","Phoenix","Arizona",2,3.4,"TRUE","0 to 4.57 m","0 to 15.24 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Saguaro","Carnegiea gigantea","Phoenix","Arizona",63,5.5,"TRUE","4.57 to 9.14 m","60.96 to 76.2 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Saguaro","Carnegiea gigantea","Phoenix","Arizona",62,4.9,"TRUE","4.57 to 9.14 m","60.96 to 76.2 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"White mulberry","Morus alba","Phoenix","Arizona",24.8,7.8,"FALSE","4.57 to 9.14 m","15.24 to 30.48 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"White mulberry","Morus alba","Phoenix","Arizona",16.7,6.6,"FALSE","4.57 to 9.14 m","15.24 to 30.48 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Aleppo pine","Pinus halepensis","Phoenix","Arizona",43.8,10.1,"FALSE","9.14 to 13.71 m","30.48 to 45.72 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Aleppo pine","Pinus halepensis","Phoenix","Arizona",24.5,9.6,"FALSE","9.14 to 13.71 m","15.24 to 30.48 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Aleppo pine","Pinus halepensis","Phoenix","Arizona",21.401402,8,"FALSE","4.57 to 9.14 m","15.24 to 30.48 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Aleppo pine","Pinus halepensis","Phoenix","Arizona",28.546103,7.6,"FALSE","4.57 to 9.14 m","15.24 to 30.48 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Aleppo pine","Pinus halepensis","Phoenix","Arizona",108.542434,21.5,"FALSE","more than 18.29 m","more than 76.2 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Apricot","Prunus armeniaca","Phoenix","Arizona",23.195043,4.84,"FALSE","4.57 to 9.14 m","15.24 to 30.48 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Apricot","Prunus armeniaca","Phoenix","Arizona",15.143976,3.92,"FALSE","0 to 4.57 m","0 to 15.24 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Common fig","Ficus carica","Phoenix","Arizona",27.650316,4.35,"FALSE","0 to 4.57 m","15.24 to 30.48 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Fremont cottonwood","Populus fremontii","Phoenix","Arizona",132,24.6,"FALSE","more than 18.29 m","more than 76.2 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Fremont cottonwood","Populus fremontii","Phoenix","Arizona",65,21.6,"FALSE","more than 18.29 m","60.96 to 76.2 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Fremont cottonwood","Populus fremontii","Phoenix","Arizona",65.5,26.6,"FALSE","more than 18.29 m","60.96 to 76.2 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Fremont cottonwood","Populus fremontii","Phoenix","Arizona",69,26.6,"FALSE","more than 18.29 m","60.96 to 76.2 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
